name,company,technology,job,location,salary,location_city,location_country,location_remote,salary_low,salary_high,salary_currency,salary_avg,is_senior,is_present
Senior Data Engineer,Falck IT Poland Sp. z o.o.,"Data, kafka, sql, azure",data engineer,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '24000', 'high': '28000', 'currency': 'PLN'}",warszawa,n/a,False,24000.0,28000.0,PLN,26000.0,1,True
Data Engineer,Chorus One,"Data, aws, blockchain, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23389', 'high': '33413', 'currency': 'PLN'}",n/a,N/A,True,23389.0,33413.0,PLN,28401.0,0,True
Data Engineer (Snowflake),GetInData | Part of Xebia,"Data, snowflake, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}",n/a,N/A,True,26880.0,33600.0,PLN,30240.0,0,True
Data Engineer (Mid / Regular),Sunscrapers,"Data, python, sql, postgresql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22000', 'high': '25000', 'currency': 'PLN'}",n/a,N/A,True,22000.0,25000.0,PLN,23500.0,0,True
Remote Data Engineer (Spark),Varwise,"Data, scala, spark, aws",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '26864', 'high': '36888', 'currency': 'PLN'}",n/a,N/A,True,26864.0,36888.0,PLN,31876.0,0,True
Data Engineer,hubQuest,"Data, python, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '27000', 'high': '37000', 'currency': 'PLN'}",n/a,N/A,True,27000.0,37000.0,PLN,32000.0,0,True
Data Engineer,Sunscrapers,"Data, python, pandas, sequel",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '24000', 'currency': 'PLN'}",n/a,N/A,True,20000.0,24000.0,PLN,22000.0,0,True
Senior Big Data Engineer (Scala) - Data & AI,Allegro,"Data, scala, java, hadoop",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}",warszawa,n/a,False,16100.0,23200.0,PLN,19650.0,1,True
Data Engineer with Python,AXA IT Solutions,"Data, python, spark, databricks",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '15960', 'high': '25200', 'currency': 'PLN'}",warszawa,n/a,False,15960.0,25200.0,PLN,20580.0,0,True
Senior Data Engineer,GOG,"Data, python, machine learing, api",data engineer,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '30000', 'currency': 'PLN'}",warszawa,n/a,False,20000.0,30000.0,PLN,25000.0,1,True
Data Engineer Hive Spark Scala,JSS Associates,"Data, spark, scala, hadoop",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '25200', 'currency': 'PLN'}",n/a,N/A,True,21000.0,25200.0,PLN,23100.0,0,True
"Data Engineer with Spark, Hive and Hadoop",JSS Associates,"Data, spark, hive, hadoop",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '27300', 'high': '33600', 'currency': 'PLN'}",n/a,N/A,True,27300.0,33600.0,PLN,30450.0,0,True
Data Engineer,Mindbox S.A.,"Data, python, data modeling, data engineering",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '27300', 'high': '35700', 'currency': 'PLN'}",krakow,n/a,False,27300.0,35700.0,PLN,31500.0,0,True
Medior/Senior Data Engineer Scala,NIX Tech Kft.,"Data, scala, sql, data engineering",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '11107', 'high': '21103', 'currency': 'PLN'}",budapest,hu,False,11107.0,21103.0,PLN,16105.0,1,True
Data Engineer,VirtusLab,"Data, python, sql, data modeling",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '26000', 'high': '31000', 'currency': 'PLN'}",n/a,N/A,True,26000.0,31000.0,PLN,28500.0,0,True
Senior Data Engineer with Python,Objectivity - part of Accenture,"Data, databricks, python, pyspark",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '21840', 'high': '30240', 'currency': 'PLN'}",n/a,N/A,True,21840.0,30240.0,PLN,26040.0,1,True
Big Data Engineer,Reply Polska,"Data, spark, kubernetes, docker",data engineer,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '9000', 'high': '16000', 'currency': 'PLN'}",katowice,n/a,False,9000.0,16000.0,PLN,12500.0,0,True
Senior Data Engineer,Adaptiq,"Data, python, spark, kafka",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '26062', 'high': '28067', 'currency': 'PLN'}",n/a,N/A,True,26062.0,28067.0,PLN,27064.5,1,True
ETL/ Data Engineer,Sofomo,"Data, sql, etl, powerbi",data engineer,"{'city': 'Zdalnie   \xa0+6', 'country': 'N/A', 'remotely': True}","{'low': '11000', 'high': '15000', 'currency': 'PLN'}",n/a,N/A,True,11000.0,15000.0,PLN,13000.0,0,True
Senior Data Engineer,hubQuest,"Data, python, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '30000', 'high': '40000', 'currency': 'PLN'}",n/a,N/A,True,30000.0,40000.0,PLN,35000.0,1,True
Data Engineer,Fizetési Pont Kft.,"Data, python, data pipelines, azure data",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '14439', 'high': '17771', 'currency': 'PLN'}",budapest,hu,False,14439.0,17771.0,PLN,16105.0,0,True
Senior Data Engineer,Link Group,"Data, sql, python, airflow",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '24000', 'high': '28000', 'currency': 'PLN'}",krakow,n/a,False,24000.0,28000.0,PLN,26000.0,1,True
Middle Data Engineer (Support team),N-iX,"Data, python, sql, spark",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '14835', 'high': '16840', 'currency': 'PLN'}",n/a,N/A,True,14835.0,16840.0,PLN,15837.5,0,True
Senior Data Engineer,AVENGA,"Data, python, sql, aws",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '28560', 'currency': 'PLN'}",n/a,N/A,True,25200.0,28560.0,PLN,26880.0,1,True
Data Engineer - remote,Directio Sp. z o.o.,"Data, python, hadoop, flink",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '28500', 'currency': 'PLN'}",n/a,N/A,True,21000.0,28500.0,PLN,24750.0,0,True
Data Engineer,Unit8 SA,"Data, sql, data engineering, team player",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '26000', 'currency': 'PLN'}",krakow,n/a,False,20000.0,26000.0,PLN,23000.0,0,True
Data Engineer,Unit8 SA,"Data, sql, data engineering, team player",data engineer,"{'city': 'Wrocław', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '26000', 'currency': 'PLN'}",wroclaw,n/a,False,20000.0,26000.0,PLN,23000.0,0,True
